[2025-12-03 16:51:36] Iniciando proceso de extracción de grupos y miembros...
[2025-12-03 16:51:36] Generando listado de grupos...
[2025-12-03 16:51:38] Se encontraron     1000 grupos
[2025-12-03 16:58:27] Grupo pmolending@spin.co:        4 usuarios encontrados
[2025-12-03 16:58:27] Procesando grupo 330/    1000: pmo.b2b1@spin.co
[2025-12-03 16:58:29] Grupo pmo.b2b1@spin.co:       26 usuarios encontrados
[2025-12-03 16:58:29] Procesando grupo 331/    1000: pmm@spin.co
[2025-12-03 16:58:30] Grupo pmm@spin.co: Vacío
[2025-12-03 16:58:30] Procesando grupo 332/    1000: pmo@spin.co
[2025-12-03 16:58:31] Grupo pmo@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:31] Procesando grupo 333/    1000: pmm475@spin.co
[2025-12-03 16:58:33] Grupo pmm475@spin.co:       17 usuarios encontrados
[2025-12-03 16:58:33] Procesando grupo 334/    1000: pmm110@spin.co
[2025-12-03 16:58:34] Grupo pmm110@spin.co:        3 usuarios encontrados
[2025-12-03 16:58:34] Procesando grupo 335/    1000: planningprocesos2024@spin.co
[2025-12-03 16:58:35] Grupo planningprocesos2024@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:35] Procesando grupo 336/    1000: planning@spin.co
[2025-12-03 16:58:37] Grupo planning@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:37] Procesando grupo 337/    1000: plannerpeopleexperience@spin.co
[2025-12-03 16:58:38] Grupo plannerpeopleexperience@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:38] Procesando grupo 338/    1000: planneralhelguadarrama@spin.co
[2025-12-03 16:58:39] Grupo planneralhelguadarrama@spin.co:        7 usuarios encontrados
[2025-12-03 16:58:39] Procesando grupo 339/    1000: planeacinpmomarketaccess@spin.co
[2025-12-03 16:58:40] Grupo planeacinpmomarketaccess@spin.co:        5 usuarios encontrados
[2025-12-03 16:58:40] Procesando grupo 340/    1000: planeacinyportafolio@spin.co
[2025-12-03 16:58:41] Grupo planeacinyportafolio@spin.co:        7 usuarios encontrados
[2025-12-03 16:58:41] Procesando grupo 341/    1000: planeacinnewventures@spin.co
[2025-12-03 16:58:43] Grupo planeacinnewventures@spin.co:        2 usuarios encontrados
[2025-12-03 16:58:43] Procesando grupo 342/    1000: planeacinmarketaccess@spin.co
[2025-12-03 16:58:44] Grupo planeacinmarketaccess@spin.co:        2 usuarios encontrados
[2025-12-03 16:58:44] Procesando grupo 343/    1000: planeacin-opdigital@spin.co
[2025-12-03 16:58:46] Grupo planeacin-opdigital@spin.co:        4 usuarios encontrados
[2025-12-03 16:58:46] Procesando grupo 344/    1000: planpos@spin.co
[2025-12-03 16:58:47] Grupo planpos@spin.co:        2 usuarios encontrados
[2025-12-03 16:58:47] Procesando grupo 345/    1000: plandhops2024@spin.co
[2025-12-03 16:58:48] Grupo plandhops2024@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:48] Procesando grupo 346/    1000: plandetransicin@spin.co
[2025-12-03 16:58:49] Grupo plandetransicin@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:49] Procesando grupo 347/    1000: plandeprueba@spin.co
[2025-12-03 16:58:50] Grupo plandeprueba@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:50] Procesando grupo 348/    1000: plandeoptimizacin@spin.co
[2025-12-03 16:58:51] Grupo plandeoptimizacin@spin.co:        8 usuarios encontrados
[2025-12-03 16:58:51] Procesando grupo 349/    1000: plandatalending@spin.co
[2025-12-03 16:58:54] Grupo plandatalending@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:54] Procesando grupo 350/    1000: piplanning@spin.co
[2025-12-03 16:58:55] Grupo piplanning@spin.co:        9 usuarios encontrados
[2025-12-03 16:58:55] Procesando grupo 351/    1000: pilotoydespliegueenoxxocoalicin@spin.co
[2025-12-03 16:58:56] Grupo pilotoydespliegueenoxxocoalicin@spin.co:        7 usuarios encontrados
[2025-12-03 16:58:56] Procesando grupo 352/    1000: personal827@spin.co
[2025-12-03 16:58:57] Grupo personal827@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:57] Procesando grupo 353/    1000: personal_yws@spin.co
[2025-12-03 16:58:58] Grupo personal_yws@spin.co:        1 usuarios encontrados
[2025-12-03 16:58:58] Procesando grupo 354/    1000: planning-todo@spin.co
[2025-12-03 16:59:00] Grupo planning-todo@spin.co:        8 usuarios encontrados
[2025-12-03 16:59:00] Procesando grupo 355/    1000: performancemarketing@spin.co
[2025-12-03 16:59:01] Grupo performancemarketing@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:01] Procesando grupo 356/    1000: personal@spin.co
[2025-12-03 16:59:03] Grupo personal@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:03] Procesando grupo 357/    1000: peopledevelopment-h22024@spin.co
[2025-12-03 16:59:04] Grupo peopledevelopment-h22024@spin.co:        3 usuarios encontrados
[2025-12-03 16:59:04] Procesando grupo 358/    1000: weekly-peopledelivery@spin.co
[2025-12-03 16:59:05] Grupo weekly-peopledelivery@spin.co:       20 usuarios encontrados
[2025-12-03 16:59:05] Procesando grupo 359/    1000: peoplesuccess@spin.co
[2025-12-03 16:59:06] Grupo peoplesuccess@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:06] Procesando grupo 360/    1000: peoplecultureprojectportfolio2025@spin.co
[2025-12-03 16:59:08] Grupo peoplecultureprojectportfolio2025@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:08] Procesando grupo 361/    1000: pentest-bpaas@spin.co
[2025-12-03 16:59:09] Grupo pentest-bpaas@spin.co:        7 usuarios encontrados
[2025-12-03 16:59:09] Procesando grupo 362/    1000: pendientespau@spin.co
[2025-12-03 16:59:10] Grupo pendientespau@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:10] Procesando grupo 363/    1000: paymentsmarketaccessbusinesscase@spin.co
[2025-12-03 16:59:11] Grupo paymentsmarketaccessbusinesscase@spin.co:        5 usuarios encontrados
[2025-12-03 16:59:11] Procesando grupo 364/    1000: pau@spin.co
[2025-12-03 16:59:12] Grupo pau@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:12] Procesando grupo 365/    1000: payments935@spin.co
[2025-12-03 16:59:14] Grupo payments935@spin.co:        3 usuarios encontrados
[2025-12-03 16:59:14] Procesando grupo 366/    1000: padronproveedores@spin.co
[2025-12-03 16:59:15] Grupo padronproveedores@spin.co:        6 usuarios encontrados
[2025-12-03 16:59:15] Procesando grupo 367/    1000: oxxoprocessesspin-off@spin.co
[2025-12-03 16:59:16] Grupo oxxoprocessesspin-off@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:16] Procesando grupo 368/    1000: pcb2b2025@spin.co
[2025-12-03 16:59:17] Grupo pcb2b2025@spin.co:        3 usuarios encontrados
[2025-12-03 16:59:17] Procesando grupo 369/    1000: oxxopay@spin.co
[2025-12-03 16:59:19] Grupo oxxopay@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:19] Procesando grupo 370/    1000: pptoxxogas@spin.co
[2025-12-03 16:59:20] Grupo pptoxxogas@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:20] Procesando grupo 371/    1000: oxxodfsre@spin.co
[2025-12-03 16:59:21] Grupo oxxodfsre@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:21] Procesando grupo 372/    1000: oxxocel@spin.co
[2025-12-03 16:59:23] Grupo oxxocel@spin.co:        4 usuarios encontrados
[2025-12-03 16:59:23] Procesando grupo 373/    1000: oxxoclub-df@spin.co
[2025-12-03 16:59:24] Grupo oxxoclub-df@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:24] Procesando grupo 374/    1000: oxxo-gravty@spin.co
[2025-12-03 16:59:25] Grupo oxxo-gravty@spin.co:        5 usuarios encontrados
[2025-12-03 16:59:25] Procesando grupo 375/    1000: othertest@spin.co
[2025-12-03 16:59:26] Grupo othertest@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:26] Procesando grupo 376/    1000: oxgteaminiciativas@spin.co
[2025-12-03 16:59:27] Grupo oxgteaminiciativas@spin.co:        3 usuarios encontrados
[2025-12-03 16:59:27] Procesando grupo 377/    1000: optimusprime@spin.co
[2025-12-03 16:59:29] Grupo optimusprime@spin.co:        8 usuarios encontrados
[2025-12-03 16:59:29] Procesando grupo 378/    1000: ops-b2b-df@spin.co
[2025-12-03 16:59:30] Grupo ops-b2b-df@spin.co:       14 usuarios encontrados
[2025-12-03 16:59:30] Procesando grupo 379/    1000: operacionestransversal@spin.co
[2025-12-03 16:59:31] Grupo operacionestransversal@spin.co:        4 usuarios encontrados
[2025-12-03 16:59:31] Procesando grupo 380/    1000: opit_3_1@spin.co
[2025-12-03 16:59:33] Grupo opit_3_1@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:33] Procesando grupo 381/    1000: operacionestitransversal@spin.co
[2025-12-03 16:59:35] Grupo operacionestitransversal@spin.co:       11 usuarios encontrados
[2025-12-03 16:59:35] Procesando grupo 382/    1000: operacioneskionetworks@spin.co
[2025-12-03 16:59:36] Grupo operacioneskionetworks@spin.co:       26 usuarios encontrados
[2025-12-03 16:59:36] Procesando grupo 383/    1000: operacionessp@spin.co
[2025-12-03 16:59:37] Grupo operacionessp@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:37] Procesando grupo 384/    1000: operacionyserviciosadministrados@spin.co
[2025-12-03 16:59:38] Grupo operacionyserviciosadministrados@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:38] Procesando grupo 385/    1000: operacionspinpremia@spin.co
[2025-12-03 16:59:39] Grupo operacionspinpremia@spin.co:        6 usuarios encontrados
[2025-12-03 16:59:39] Procesando grupo 386/    1000: opdigital@spin.co
[2025-12-03 16:59:41] Grupo opdigital@spin.co:        6 usuarios encontrados
[2025-12-03 16:59:41] Procesando grupo 387/    1000: onlinepayments@spin.co
[2025-12-03 16:59:42] Grupo onlinepayments@spin.co:        5 usuarios encontrados
[2025-12-03 16:59:42] Procesando grupo 388/    1000: onedatateam@spin.co
[2025-12-03 16:59:44] Grupo onedatateam@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:44] Procesando grupo 389/    1000: omnichannelservices@spin.co
[2025-12-03 16:59:45] Grupo omnichannelservices@spin.co:        4 usuarios encontrados
[2025-12-03 16:59:45] Procesando grupo 390/    1000: onboardingg@spin.co
[2025-12-03 16:59:46] Grupo onboardingg@spin.co:       10 usuarios encontrados
[2025-12-03 16:59:47] Procesando grupo 391/    1000: oficinadevalor@spin.co
[2025-12-03 16:59:48] Grupo oficinadevalor@spin.co:        8 usuarios encontrados
[2025-12-03 16:59:48] Procesando grupo 392/    1000: ofertas@spin.co
[2025-12-03 16:59:49] Grupo ofertas@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:49] Procesando grupo 393/    1000: offerletterautomationprocess@spin.co
[2025-12-03 16:59:50] Grupo offerletterautomationprocess@spin.co:        2 usuarios encontrados
[2025-12-03 16:59:50] Procesando grupo 394/    1000: nuevasadquisiciones@spin.co
[2025-12-03 16:59:51] Grupo nuevasadquisiciones@spin.co:        7 usuarios encontrados
[2025-12-03 16:59:51] Procesando grupo 395/    1000: gobiernodedatos@spin.co
[2025-12-03 16:59:53] Grupo gobiernodedatos@spin.co:        9 usuarios encontrados
[2025-12-03 16:59:53] Procesando grupo 396/    1000: notadecreditoaliadosspinpremia@spin.co
[2025-12-03 16:59:54] Grupo notadecreditoaliadosspinpremia@spin.co:       10 usuarios encontrados
[2025-12-03 16:59:54] Procesando grupo 397/    1000: newsletter-lalinterna@spin.co
[2025-12-03 16:59:55] Grupo newsletter-lalinterna@spin.co:        1 usuarios encontrados
[2025-12-03 16:59:55] Procesando grupo 398/    1000: newventures@spin.co
[2025-12-03 16:59:56] Grupo newventures@spin.co:        6 usuarios encontrados
[2025-12-03 16:59:56] Procesando grupo 399/    1000: networksrequests@spin.co
[2025-12-03 16:59:58] Grupo networksrequests@spin.co:        4 usuarios encontrados
[2025-12-03 16:59:58] Procesando grupo 400/    1000: newventures-appvengersoxxo@spin.co
[2025-12-03 16:59:59] Grupo newventures-appvengersoxxo@spin.co:       11 usuarios encontrados
[2025-12-03 16:59:59] Procesando grupo 401/    1000: networks-tbd@spin.co
[2025-12-03 17:00:00] Grupo networks-tbd@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:00] Procesando grupo 402/    1000: networks@spin.co
[2025-12-03 17:00:01] Grupo networks@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:01] Procesando grupo 403/    1000: networks-mpocdjurez@spin.co
[2025-12-03 17:00:03] Grupo networks-mpocdjurez@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:03] Procesando grupo 404/    1000: netsecops-ti@spin.co
[2025-12-03 17:00:04] Grupo netsecops-ti@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:04] Procesando grupo 405/    1000: netpaymaterialesmkt@spin.co
[2025-12-03 17:00:05] Grupo netpaymaterialesmkt@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:05] Procesando grupo 406/    1000: netpaymarca@spin.co
[2025-12-03 17:00:06] Grupo netpaymarca@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:06] Procesando grupo 407/    1000: netpayintegration@spin.co
[2025-12-03 17:00:07] Grupo netpayintegration@spin.co:        6 usuarios encontrados
[2025-12-03 17:00:07] Procesando grupo 408/    1000: netpay@spin.co
[2025-12-03 17:00:08] Grupo netpay@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:09] Procesando grupo 409/    1000: netpay624@spin.co
[2025-12-03 17:00:10] Grupo netpay624@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:10] Procesando grupo 410/    1000: nere2024@spin.co
[2025-12-03 17:00:11] Grupo nere2024@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:11] Procesando grupo 411/    1000: mypersonal@spin.co
[2025-12-03 17:00:13] Grupo mypersonal@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:13] Procesando grupo 412/    1000: mvp1warroom@spin.co
[2025-12-03 17:00:14] Grupo mvp1warroom@spin.co:        6 usuarios encontrados
[2025-12-03 17:00:14] Procesando grupo 413/    1000: mundos-frontend@spin.co
[2025-12-03 17:00:15] Grupo mundos-frontend@spin.co:       14 usuarios encontrados
[2025-12-03 17:00:15] Procesando grupo 414/    1000: multiplica-crowdar@spin.co
[2025-12-03 17:00:16] Grupo multiplica-crowdar@spin.co: Vacío
[2025-12-03 17:00:16] Procesando grupo 415/    1000: mundos-backend@spin.co
[2025-12-03 17:00:18] Grupo mundos-backend@spin.co:        9 usuarios encontrados
[2025-12-03 17:00:18] Procesando grupo 416/    1000: mshaliados@spin.co
[2025-12-03 17:00:19] Grupo mshaliados@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:19] Procesando grupo 417/    1000: monitoringalerting@spin.co
[2025-12-03 17:00:20] Grupo monitoringalerting@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:20] Procesando grupo 418/    1000: monthlysquadshcupdate2025@spin.co
[2025-12-03 17:00:21] Grupo monthlysquadshcupdate2025@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:21] Procesando grupo 419/    1000: msh@spin.co
[2025-12-03 17:00:23] Grupo msh@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:23] Procesando grupo 420/    1000: monitorplus@spin.co
[2025-12-03 17:00:24] Grupo monitorplus@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:24] Procesando grupo 421/    1000: modeladodatahub@spin.co
[2025-12-03 17:00:25] Grupo modeladodatahub@spin.co: Vacío
[2025-12-03 17:00:25] Procesando grupo 422/    1000: mms@spin.co
[2025-12-03 17:00:26] Grupo mms@spin.co: Vacío
[2025-12-03 17:00:26] Procesando grupo 423/    1000: mktproductplanning@spin.co
[2025-12-03 17:00:27] Grupo mktproductplanning@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:27] Procesando grupo 424/    1000: mka_spn_tiendas@spin.co
[2025-12-03 17:00:28] Grupo mka_spn_tiendas@spin.co:        6 usuarios encontrados
[2025-12-03 17:00:28] Procesando grupo 425/    1000: mka_spn_notification@spin.co
[2025-12-03 17:00:29] Grupo mka_spn_notification@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:30] Procesando grupo 426/    1000: mka_spn_negocios@spin.co
[2025-12-03 17:00:31] Grupo mka_spn_negocios@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:31] Procesando grupo 427/    1000: mkasalesforceservices@spin.co
[2025-12-03 17:00:33] Grupo mkasalesforceservices@spin.co:        4 usuarios encontrados
[2025-12-03 17:00:33] Procesando grupo 428/    1000: mixpanel@spin.co
[2025-12-03 17:00:34] Grupo mixpanel@spin.co:        4 usuarios encontrados
[2025-12-03 17:00:34] Procesando grupo 429/    1000: misteryshopper@spin.co
[2025-12-03 17:00:35] Grupo misteryshopper@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:35] Procesando grupo 430/    1000: mioxxotws@spin.co
[2025-12-03 17:00:36] Grupo mioxxotws@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:36] Procesando grupo 431/    1000: micromerchants@spin.co
[2025-12-03 17:00:37] Grupo micromerchants@spin.co:        5 usuarios encontrados
[2025-12-03 17:00:37] Procesando grupo 432/    1000: mesan3@spin.co
[2025-12-03 17:00:39] Grupo mesan3@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:39] Procesando grupo 433/    1000: mesadetrabajodemarca@spin.co
[2025-12-03 17:00:40] Grupo mesadetrabajodemarca@spin.co:        4 usuarios encontrados
[2025-12-03 17:00:40] Procesando grupo 434/    1000: mesadeservicio@spin.co
[2025-12-03 17:00:41] Grupo mesadeservicio@spin.co: Vacío
[2025-12-03 17:00:41] Procesando grupo 435/    1000: mesadeayuda@spin.co
[2025-12-03 17:00:42] Grupo mesadeayuda@spin.co:        7 usuarios encontrados
[2025-12-03 17:00:42] Procesando grupo 436/    1000: mejorasdeprocesosdenmina@spin.co
[2025-12-03 17:00:43] Grupo mejorasdeprocesosdenmina@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:43] Procesando grupo 437/    1000: materialdeinters@spin.co
[2025-12-03 17:00:45] Grupo materialdeinters@spin.co: Vacío
[2025-12-03 17:00:45] Procesando grupo 438/    1000: master@spin.co
[2025-12-03 17:00:46] Grupo master@spin.co:        1 usuarios encontrados
[2025-12-03 17:00:46] Procesando grupo 439/    1000: martnsols@spin.co
[2025-12-03 17:00:47] Grupo martnsols@spin.co: Vacío
[2025-12-03 17:00:47] Procesando grupo 440/    1000: martech_transversal@spin.co
[2025-12-03 17:00:48] Grupo martech_transversal@spin.co:        7 usuarios encontrados
[2025-12-03 17:00:48] Procesando grupo 441/    1000: marketing_spin@spin.co
[2025-12-03 17:00:50] Grupo marketing_spin@spin.co:        2 usuarios encontrados
[2025-12-03 17:00:50] Procesando grupo 442/    1000: marketingvolaris@spin.co
[2025-12-03 17:00:51] Grupo marketingvolaris@spin.co: Vacío
[2025-12-03 17:00:51] Procesando grupo 443/    1000: marketingdigitalefectigo@spin.co
[2025-12-03 17:00:52] Grupo marketingdigitalefectigo@spin.co:        3 usuarios encontrados
[2025-12-03 17:00:52] Procesando grupo 444/    1000: marketingspinpremia@spin.co
[2025-12-03 17:00:54] Grupo marketingspinpremia@spin.co:        5 usuarios encontrados
[2025-12-03 17:00:54] Procesando grupo 445/    1000: marketingdigitalb2cspinpremia-spinbyoxxo@spin.co
[2025-12-03 17:00:55] Grupo marketingdigitalb2cspinpremia-spinbyoxxo@spin.co:        7 usuarios encontrados
[2025-12-03 17:00:55] Procesando grupo 446/    1000: growthmartechb2c@spin.co
[2025-12-03 17:00:56] Grupo growthmartechb2c@spin.co:        8 usuarios encontrados
[2025-12-03 17:00:56] Procesando grupo 447/    1000: marketaccess-podbpaassb0globant@spin.co
[2025-12-03 17:00:57] Grupo marketaccess-podbpaassb0globant@spin.co: Vacío
[2025-12-03 17:00:57] Procesando grupo 448/    1000: marketaccess_cx@spin.co
[2025-12-03 17:00:58] Grupo marketaccess_cx@spin.co:       11 usuarios encontrados
[2025-12-03 17:00:58] Procesando grupo 449/    1000: marketing@spin.co
[2025-12-03 17:01:00] Grupo marketing@spin.co:       10 usuarios encontrados
[2025-12-03 17:01:00] Procesando grupo 450/    1000: market-access@spin.co
[2025-12-03 17:01:03] Grupo market-access@spin.co:       44 usuarios encontrados
[2025-12-03 17:01:03] Procesando grupo 451/    1000: marketaccess304@spin.co
[2025-12-03 17:01:04] Grupo marketaccess304@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:04] Procesando grupo 452/    1000: marketaccess@spin.co
[2025-12-03 17:01:05] Grupo marketaccess@spin.co:       36 usuarios encontrados
[2025-12-03 17:01:05] Procesando grupo 453/    1000: management_paloit_b2b@spin.co
[2025-12-03 17:01:06] Grupo management_paloit_b2b@spin.co: Vacío
[2025-12-03 17:01:06] Procesando grupo 454/    1000: longtailrequests@spin.co
[2025-12-03 17:01:07] Grupo longtailrequests@spin.co:        4 usuarios encontrados
[2025-12-03 17:01:07] Procesando grupo 455/    1000: longtail-reportesdirectos@spin.co
[2025-12-03 17:01:09] Grupo longtail-reportesdirectos@spin.co:        5 usuarios encontrados
[2025-12-03 17:01:09] Procesando grupo 456/    1000: longtail700@spin.co
[2025-12-03 17:01:10] Grupo longtail700@spin.co:       13 usuarios encontrados
[2025-12-03 17:01:10] Procesando grupo 457/    1000: longtail633@spin.co
[2025-12-03 17:01:11] Grupo longtail633@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:11] Procesando grupo 458/    1000: longtail@spin.co
[2025-12-03 17:01:12] Grupo longtail@spin.co:       17 usuarios encontrados
[2025-12-03 17:01:12] Procesando grupo 459/    1000: licenciacorebancario@spin.co
[2025-12-03 17:01:14] Grupo licenciacorebancario@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:14] Procesando grupo 460/    1000: lderesnewventures@spin.co
[2025-12-03 17:01:15] Grupo lderesnewventures@spin.co:        9 usuarios encontrados
[2025-12-03 17:01:15] Procesando grupo 461/    1000: licenciabancaria@spin.co
[2025-12-03 17:01:16] Grupo licenciabancaria@spin.co:        7 usuarios encontrados
[2025-12-03 17:01:16] Procesando grupo 462/    1000: licenciabancariasbo@spin.co
[2025-12-03 17:01:17] Grupo licenciabancariasbo@spin.co:       26 usuarios encontrados
[2025-12-03 17:01:17] Procesando grupo 463/    1000: licencia@spin.co
[2025-12-03 17:01:18] Grupo licencia@spin.co:        3 usuarios encontrados
[2025-12-03 17:01:18] Procesando grupo 464/    1000: lending2.0@spin.co
[2025-12-03 17:01:19] Grupo lending2.0@spin.co: Vacío
[2025-12-03 17:01:19] Procesando grupo 465/    1000: lendingcreditrisk@spin.co
[2025-12-03 17:01:21] Grupo lendingcreditrisk@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:21] Procesando grupo 466/    1000: lending20@spin.co
[2025-12-03 17:01:22] Grupo lending20@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:22] Procesando grupo 467/    1000: lending-cxops@spin.co
[2025-12-03 17:01:24] Grupo lending-cxops@spin.co:       11 usuarios encontrados
[2025-12-03 17:01:24] Procesando grupo 468/    1000: lending-wizeline@spin.co
[2025-12-03 17:01:25] Grupo lending-wizeline@spin.co: Vacío
[2025-12-03 17:01:25] Procesando grupo 469/    1000: lending-changarros-researchdesign@spin.co
[2025-12-03 17:01:26] Grupo lending-changarros-researchdesign@spin.co:        7 usuarios encontrados
[2025-12-03 17:01:26] Procesando grupo 470/    1000: lending-mambu@spin.co
[2025-12-03 17:01:27] Grupo lending-mambu@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:27] Procesando grupo 471/    1000: lending@spin.co
[2025-12-03 17:01:28] Grupo lending@spin.co:        3 usuarios encontrados
[2025-12-03 17:01:28] Procesando grupo 472/    1000: lending842@spin.co
[2025-12-03 17:01:30] Grupo lending842@spin.co:       10 usuarios encontrados
[2025-12-03 17:01:30] Procesando grupo 473/    1000: lending57@spin.co
[2025-12-03 17:01:31] Grupo lending57@spin.co: Vacío
[2025-12-03 17:01:31] Procesando grupo 474/    1000: legalentitiesalignment@spin.co
[2025-12-03 17:01:33] Grupo legalentitiesalignment@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:33] Procesando grupo 475/    1000: legalodpr@spin.co
[2025-12-03 17:01:34] Grupo legalodpr@spin.co:        3 usuarios encontrados
[2025-12-03 17:01:34] Procesando grupo 476/    1000: legaldigitalfemsa@spin.co
[2025-12-03 17:01:35] Grupo legaldigitalfemsa@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:35] Procesando grupo 477/    1000: lealtadcoalicion-oxxo@spin.co
[2025-12-03 17:01:37] Grupo lealtadcoalicion-oxxo@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:37] Procesando grupo 478/    1000: laboralfacilitiessasso@spin.co
[2025-12-03 17:01:38] Grupo laboralfacilitiessasso@spin.co:        4 usuarios encontrados
[2025-12-03 17:01:38] Procesando grupo 479/    1000: kofmexico@spin.co
[2025-12-03 17:01:39] Grupo kofmexico@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:39] Procesando grupo 480/    1000: kofcolombia@spin.co
[2025-12-03 17:01:40] Grupo kofcolombia@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:40] Procesando grupo 481/    1000: kofd2c@spin.co
[2025-12-03 17:01:41] Grupo kofd2c@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:41] Procesando grupo 482/    1000: kofbrasil@spin.co
[2025-12-03 17:01:43] Grupo kofbrasil@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:43] Procesando grupo 483/    1000: kofdf@spin.co
[2025-12-03 17:01:44] Grupo kofdf@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:44] Procesando grupo 484/    1000: kofboard@spin.co
[2025-12-03 17:01:45] Grupo kofboard@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:45] Procesando grupo 485/    1000: kof-digitalfemsa@spin.co
[2025-12-03 17:01:46] Grupo kof-digitalfemsa@spin.co:        5 usuarios encontrados
[2025-12-03 17:01:46] Procesando grupo 486/    1000: kion2@spin.co
[2025-12-03 17:01:47] Grupo kion2@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:47] Procesando grupo 487/    1000: kion1@spin.co
[2025-12-03 17:01:48] Grupo kion1@spin.co:        8 usuarios encontrados
[2025-12-03 17:01:48] Procesando grupo 488/    1000: karenmaldonado@spin.co
[2025-12-03 17:01:50] Grupo karenmaldonado@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:50] Procesando grupo 489/    1000: kiofieldserviceteam@spin.co
[2025-12-03 17:01:51] Grupo kiofieldserviceteam@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:51] Procesando grupo 490/    1000: jonathandeciga@spin.co
[2025-12-03 17:01:52] Grupo jonathandeciga@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:52] Procesando grupo 491/    1000: jbpcustomerstrategy-coalicin@spin.co
[2025-12-03 17:01:53] Grupo jbpcustomerstrategy-coalicin@spin.co:        5 usuarios encontrados
[2025-12-03 17:01:53] Procesando grupo 492/    1000: iteracin-dashboardpeople@spin.co
[2025-12-03 17:01:54] Grupo iteracin-dashboardpeople@spin.co:        6 usuarios encontrados
[2025-12-03 17:01:54] Procesando grupo 493/    1000: ivalua-consus-df@spin.co
[2025-12-03 17:01:55] Grupo ivalua-consus-df@spin.co:        1 usuarios encontrados
[2025-12-03 17:01:55] Procesando grupo 494/    1000: isosdf@spin.co
[2025-12-03 17:01:56] Grupo isosdf@spin.co:        2 usuarios encontrados
[2025-12-03 17:01:56] Procesando grupo 495/    1000: irtudnfemsa@spin.co
[2025-12-03 17:01:59] Grupo irtudnfemsa@spin.co:        1 usuarios encontrados
